CY,PCY,FY,PFY,L90,B1_ALT_ID,CAT1,DATE1,DATE2,DATE3,TOPIC,ALLEGATION,SOURCE,LANGUAGE,REQUEST_TYPE,OUTCOME,ENFO_OUTCOME,STATUS,STAFF,ENFO_RECORD
0,0,0,1,0,2020-08062-INT,INTAKE_RECEIVED,8/27/2020 12:38,,,Other,,Call from 311,English,Information Request,Information Provided,,,M,
0,0,0,1,0,2020-09086-INT,INTAKE_RECEIVED,9/11/2020 12:28,,,Health & Safety,,Call from Hotline,English,Complaint,,,,Z,
0,1,1,0,0,2021-24131-INT,INTAKE_RECEIVED,9/1/2021 12:24,,,Other,,Direct Call,English,Information Request,Information Provided,Decision Made Not to Docket,,O,
0,1,0,1,0,2021-22759-INT,INTAKE_RECEIVED,6/11/2021 9:25,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,X,
0,1,0,1,0,2021-18003-INT,INTAKE_RECEIVED,2/15/2021 0:00,3/3/2021 11:35,16,Freelance Isn't Free,Non-pmnt on dates agreed/within 30 days if no agreed date,Email,English,Complaint,Assigned for Review,Matter Created,,P,2021-00800-ENF
0,0,0,0,0,2020-01761-INT,INTAKE_RECEIVED,4/10/2020 0:00,4/16/2020 11:45,6,Freelance Isn't Free,Non-pmnt on dates agreed/within 30 days if no agreed date,Email,English,Complaint,Information Provided,Matter Created,,W,2020-00266-ENF
0,0,0,1,0,2020-04249-INT,INTAKE_RECEIVED,7/2/2020 0:00,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,T,
0,0,0,0,0,2020-01568-INT,INTAKE_RECEIVED,3/24/2020 0:00,,,Freelance Isn't Free,,Email,English,Information Request,Information Provided,,,X,
0,0,0,1,0,2020-05989-INT,INTAKE_RECEIVED,7/26/2020 0:00,7/28/2020 9:42,2,Fair Workweek,Fast Food: Failed to update schedule,Email,English,Complaint,Assigned for Review,Intake Linked to Existing Matter,,G,2019-00649-ENF
0,1,0,1,0,2021-16462-INT,INTAKE_RECEIVED,1/19/2021 12:48,,,Health & Safety,,Call from Hotline,English,Complaint,,,,R,
0,0,0,0,0,2020-01756-INT,INTAKE_RECEIVED,4/15/2020 18:40,,,Paid Safe and Sick Leave,,Email,English,Information Request,Information Provided,,,D,
0,0,0,0,0,2020-01529-INT,INTAKE_RECEIVED,4/3/2020 0:00,,,Health & Safety,,E-form from Mayor's Office,English,Information Request,Assigned for Referral Review,,,E,
0,0,0,1,0,2020-14913-INT,INTAKE_RECEIVED,12/16/2020 11:32,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,N,
0,0,0,1,0,2020-10483-INT,INTAKE_RECEIVED,9/15/2020 14:33,,,Other,,Call from 311,English,Information Request,Information Provided,,,X,
0,0,0,1,0,2020-12529-INT,INTAKE_RECEIVED,11/4/2020 15:59,,,Freelance Isn't Free,,Call from 311,English,Information Request,Information Provided,,,L,
0,1,1,0,0,2021-24689-INT,INTAKE_RECEIVED,10/26/2021 11:43,,,Other,,Direct Call,English,Information Request,Information Provided,,,Y,
0,1,0,1,0,2021-22456-INT,INTAKE_RECEIVED,6/3/2021 14:36,,,Unemployment Insurance,,Call from Hotline,English,Information Request,Information Provided,,,P,
0,0,0,1,0,2020-14955-INT,INTAKE_RECEIVED,12/16/2020 15:56,,,Paid Safe and Sick Leave,,Direct Call,Spanish,Information Request,Information Provided,,,T,
0,1,0,1,0,2021-21550-INT,INTAKE_RECEIVED,5/5/2021 11:31,,,Paid Safe and Sick Leave,,Direct Call,Spanish,Information Request,Information Provided,,,O,
0,1,0,1,0,2021-23501-INT,INTAKE_RECEIVED,6/28/2021 0:00,,,Other,,Email,English,Information Request,Information Provided,,,E,
0,1,0,1,0,2021-22029-INT,INTAKE_RECEIVED,5/19/2021 14:25,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,R,
0,1,0,1,0,2021-19296-INT,INTAKE_RECEIVED,3/15/2021 17:34,,,Prevailing Wage,,Email,English,Information Request,Information Provided,,,B,
0,0,0,1,0,2020-04750-INT,INTAKE_RECEIVED,7/13/2020 10:12,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,C,
0,0,0,0,0,2020-02974-INT,INTAKE_RECEIVED,6/16/2020 10:56,,,Health & Safety,,Call from Hotline,English,Complaint,Information Provided,,,N,
0,1,0,1,0,2021-19715-INT,INTAKE_RECEIVED,3/24/2021 10:54,,,Paid Safe and Sick Leave,,Call from Hotline,English,Information Request,Information Provided,,,S,
0,1,1,0,1,2021-25096-INT,INTAKE_RECEIVED,12/2/2021 0:00,12/8/2021 10:04,6,Freelance Isn't Free,Non-pmnt on dates agreed/within 30 days if no agreed date,Email,English,Complaint,,Matter Created,,M,2021-01242-ENF
0,0,0,1,0,2020-08621-INT,INTAKE_RECEIVED,9/4/2020 13:09,,,Health & Safety,,Call from Hotline,English,Information Request,Information Provided,,,Y,
0,0,0,0,0,2020-00999-INT,INTAKE_RECEIVED,3/18/2020 0:00,,,Other,,Email,English,Information Request,Information Provided,,,L,
0,0,0,1,0,2020-04394-INT,INTAKE_RECEIVED,7/7/2020 17:32,11/10/2020 11:38,126,Paid Safe and Sick Leave,,Call from Hotline,English,Complaint,Assigned for Review,Matter Created,,N,2020-00649-ENF
0,0,0,0,0,2020-02732-INT,INTAKE_RECEIVED,6/11/2020 11:34,,,Paid Safe and Sick Leave,,Call from Hotline,English,Information Request,,,,S,
0,1,0,1,0,2021-21555-INT,INTAKE_RECEIVED,5/5/2021 11:42,,,Health & Safety,,Email,English,Information Request,Information Provided,Decision Made Not to Docket,,T,
0,0,0,1,0,2020-12050-INT,INTAKE_RECEIVED,10/27/2020 16:00,,,Paid Safe and Sick Leave,,Call from 311,English,Information Request,Information Provided,,,X,
0,0,0,0,0,2020-03403-INT,INTAKE_RECEIVED,6/22/2020 0:00,7/29/2020 16:54,37,Freelance Isn't Free,Non-pmnt on dates agreed/within 30 days if no agreed date,Email,English,Complaint,Information Provided,Matter Created,,Z,2020-00499-ENF
0,1,0,1,0,2021-19512-INT,INTAKE_RECEIVED,3/19/2021 15:35,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,I,
0,1,0,1,0,2021-16579-INT,INTAKE_RECEIVED,1/20/2021 16:48,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,Y,
0,1,0,1,0,2021-21207-INT,INTAKE_RECEIVED,4/27/2021 12:14,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,P,
0,1,0,1,0,2021-16548-INT,INTAKE_RECEIVED,1/20/2021 14:58,,,Paid Safe and Sick Leave,,Call from Hotline,English,Information Request,Information Provided,,,J,
0,1,0,1,0,2021-23123-INT,INTAKE_RECEIVED,6/18/2021 0:00,,,Discrimination/Harassment,,Email,English,Complaint,Information Provided,Matter Created,,P,
0,0,0,1,0,2020-12515-INT,INTAKE_RECEIVED,11/4/2020 15:45,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,J,
0,1,0,1,0,2021-22804-INT,INTAKE_RECEIVED,6/15/2021 14:16,,,Wage & Hour,,Email,English,Information Request,Information Provided,,,W,
0,0,0,1,0,2020-04907-INT,INTAKE_RECEIVED,7/14/2020 9:31,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,D,
0,0,0,0,0,2020-01884-INT,INTAKE_RECEIVED,4/22/2020 12:40,,,Other,,Email,English,Information Request,Information Provided,,,Y,
0,0,0,1,0,2020-10861-INT,INTAKE_RECEIVED,10/8/2020 14:55,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,P,
0,0,0,0,0,2020-02697-INT,INTAKE_RECEIVED,6/10/2020 19:57,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,E,
0,0,0,1,0,2020-15159-INT,INTAKE_RECEIVED,12/19/2020 0:00,,,Freelance Isn't Free,,Email,English,Information Request,Information Provided,,,D,
0,1,1,0,0,2021-24835-INT,INTAKE_RECEIVED,11/10/2021 8:58,1/18/2022 13:55,69,Paid Safe and Sick Leave,,Direct Call,English,Outreach Request,Assigned for Review,Matter Created,,G,2022-01315-ENF
0,1,1,0,1,2021-24970-INT,INTAKE_RECEIVED,11/19/2021 10:24,,,Paid Safe and Sick Leave,,Direct Call,English,Information Request,Information Provided,,,X,
0,0,0,1,0,2020-11726-INT,INTAKE_RECEIVED,10/21/2020 16:49,,,Paid Safe and Sick Leave,,Email,English,Information Request,,,,N,
0,0,0,1,0,2020-12820-INT,INTAKE_RECEIVED,11/10/2020 12:26,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,F,
0,0,0,1,0,2020-10567-INT,INTAKE_RECEIVED,10/5/2020 14:48,,,Workers' Compensation,,Call from Hotline,English,Information Request,Information Provided,,,S,
0,0,0,0,0,2020-01048-INT,INTAKE_RECEIVED,3/24/2020 0:00,,,Other,,Email,Spanish,Information Request,Information Provided,,,A,
0,0,0,1,0,2020-10237-INT,INTAKE_RECEIVED,9/29/2020 10:33,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,J,
0,0,0,0,0,2020-02014-INT,INTAKE_RECEIVED,4/29/2020 14:40,,,Other,,Call from 311,English,Information Request,Information Provided,,,R,
0,1,0,1,0,2021-18190-INT,INTAKE_RECEIVED,2/22/2021 12:37,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,P,
0,0,0,1,0,2020-06454-INT,INTAKE_RECEIVED,7/31/2020 16:20,,,Paid Safe and Sick Leave,,Call from 311,English,Information Request,Information Provided,,,P,
0,1,0,1,0,2021-17928-INT,INTAKE_RECEIVED,2/16/2021 9:54,,,Paid Safe and Sick Leave,,Direct Call,English,Information Request,Information Provided,,,L,
0,0,0,0,0,2020-00546-INT,INTAKE_RECEIVED,3/3/2020 0:00,3/12/2020 15:52,9,Freelance Isn't Free,Non-pmnt on dates agreed/within 30 days if no agreed date,Email,English,Complaint,,,,K,2020-00167-ENF
0,0,0,1,0,2020-14188-INT,INTAKE_RECEIVED,12/3/2020 11:57,,,Other,,Call from 311,English,Information Request,Information Provided,,,B,
0,1,0,1,0,2021-17254-INT,INTAKE_RECEIVED,2/2/2021 11:53,,,Paid Safe and Sick Leave,,Call from 311,English,Information Request,Information Provided,,,V,
0,1,0,1,0,2021-17853-INT,INTAKE_RECEIVED,2/11/2021 16:50,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,J,
0,0,0,1,0,2020-12592-INT,INTAKE_RECEIVED,11/5/2020 14:54,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,Y,
0,0,0,1,0,2020-10194-INT,INTAKE_RECEIVED,9/28/2020 15:09,,,Other,,Call from Hotline,English,Information Request,,,,I,
0,1,0,1,0,2021-17021-INT,INTAKE_RECEIVED,1/27/2021 0:00,,,Paid Safe and Sick Leave,,Email,English,Information Request,Information Provided,,,Q,
0,0,0,1,0,2020-09184-INT,INTAKE_RECEIVED,9/14/2020 11:50,,,Unemployment Insurance,,Call from Hotline,English,Information Request,Information Provided,,,W,
0,0,0,1,0,2020-13715-INT,INTAKE_RECEIVED,11/23/2020 0:00,,,Freelance Isn't Free,,Email,English,Information Request,,,,V,
0,0,0,1,0,2020-08995-INT,INTAKE_RECEIVED,9/10/2020 14:59,,,Unemployment Insurance,,Call from Hotline,English,Information Request,Information Provided,,,P,
0,0,0,1,0,2020-07108-INT,INTAKE_RECEIVED,8/11/2020 13:18,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,L,
0,1,1,0,0,2021-24129-INT,INTAKE_RECEIVED,8/30/2021 0:00,,,Paid Safe and Sick Leave,,Call from 311,English,Information Request,Information Provided,,,O,
0,0,0,1,0,2020-08592-INT,INTAKE_RECEIVED,9/4/2020 10:37,,,Paid Safe and Sick Leave,,Call from 311,English,Information Request,Information Provided,,,O,
0,0,0,0,0,2020-02729-INT,INTAKE_RECEIVED,6/11/2020 11:12,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,X,
0,0,0,1,0,2020-07833-INT,INTAKE_RECEIVED,8/24/2020 17:28,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,I,
0,0,0,0,0,2020-03173-INT,INTAKE_RECEIVED,6/15/2020 0:00,8/10/2020 15:28,56,Freelance Isn't Free,Non-pmnt on dates agreed/within 30 days if no agreed date,Email,English,Complaint,,Matter Created,,H,2020-00512-ENF
0,1,0,1,0,2021-19011-INT,INTAKE_RECEIVED,3/10/2021 10:31,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,S,
0,0,0,1,0,2020-07707-INT,INTAKE_RECEIVED,8/21/2020 11:01,,,Other,,Call from Hotline,English,Complaint,Information Provided,,,Q,
0,0,0,1,0,2020-07081-INT,INTAKE_RECEIVED,8/11/2020 10:01,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,M,
0,1,1,0,0,2021-23633-INT,INTAKE_RECEIVED,7/16/2021 14:11,10/4/2021 16:20,80,Wage & Hour,,Referral,English,Information Request,Information Provided,Matter Created,,F,2021-01146-ENF
0,0,0,1,0,2020-09080-INT,INTAKE_RECEIVED,9/11/2020 11:47,,,Health & Safety,,Call from Hotline,English,Information Request,Information Provided,,,J,
0,0,0,0,0,2020-01092-INT,INTAKE_RECEIVED,3/26/2020 0:00,4/6/2020 13:09,11,Other,,Email,English,Retaliation w/ Termination,Assigned for Review,Matter Created,,X,2020-00245-ENF
0,1,1,0,0,2021-24783-INT,INTAKE_RECEIVED,11/1/2021 0:00,,,Paid Safe and Sick Leave,,Call from 311,English,Information Request,Information Provided,,,R,
0,0,0,1,0,2020-12312-INT,INTAKE_RECEIVED,10/30/2020 14:22,,,Health & Safety,,Call from Hotline,English,Information Request,Information Provided,,,U,
0,1,0,1,0,2021-23120-INT,INTAKE_RECEIVED,6/25/2021 13:07,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,U,
0,0,0,1,0,2020-07987-INT,INTAKE_RECEIVED,8/26/2020 13:53,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,V,
0,0,0,1,0,2020-14125-INT,INTAKE_RECEIVED,12/2/2020 16:33,,,Health & Safety,,Call from Hotline,English,Information Request,Information Provided,,,L,
0,1,1,0,0,2021-24096-INT,INTAKE_RECEIVED,8/27/2021 12:03,,,Freelance Isn't Free,Non-pmnt on dates agreed/within 30 days if no agreed date,Email,English,Complaint,Assigned for Review,Matter Created,,X,
0,1,0,1,0,2021-19077-INT,INTAKE_RECEIVED,3/11/2021 9:59,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,O,
0,1,0,1,0,2021-22859-INT,INTAKE_RECEIVED,6/17/2021 13:05,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,H,
0,1,0,1,0,2021-21867-INT,INTAKE_RECEIVED,5/13/2021 17:05,,,Commuter Benefits,,Email,English,Information Request,Information Provided,,,P,
0,1,0,1,0,2021-18193-INT,INTAKE_RECEIVED,2/22/2021 12:49,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,U,
0,1,1,0,0,2021-24840-INT,INTAKE_RECEIVED,11/9/2021 0:00,11/10/2021 17:20,1,Freelance Isn't Free,Non-pmnt on dates agreed/within 30 days if no agreed date,Email,English,Complaint,,Matter Created,,Z,2021-01184-ENF
0,0,0,1,0,2020-13857-INT,INTAKE_RECEIVED,11/30/2020 11:30,,,Health & Safety,,Call from Hotline,English,Information Request,Information Provided,,,B,
1,0,1,0,1,2022-26219-INT,INTAKE_RECEIVED,1/14/2022 0:00,,,Health & Safety,,Email,English,Information Request,Information Provided,,,R,
0,0,0,1,0,2020-11261-INT,INTAKE_RECEIVED,10/15/2020 11:32,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,O,
0,1,0,1,0,2021-21614-INT,INTAKE_RECEIVED,5/6/2021 10:11,6/28/2021 13:05,53,Paid Safe and Sick Leave,Retaliated (incl. threats),Call from 311,English,Retaliation w/ Termination,Assigned for Review,Matter Created,,D,2021-00985-ENF
0,1,0,1,0,2021-20484-INT,INTAKE_RECEIVED,4/6/2021 16:37,,,Other,,Direct Call,English,Information Request,Information Provided,,,R,
0,1,0,1,0,2021-16643-INT,INTAKE_RECEIVED,1/22/2021 11:29,,,Health & Safety,,Call from Hotline,English,Complaint,,,,I,
0,0,0,0,0,2020-00951-INT,INTAKE_RECEIVED,3/25/2020 14:20,,,Unemployment Insurance,,Email,English,Information Request,Information Provided,,,J,
0,1,1,0,0,2021-23525-INT,INTAKE_RECEIVED,7/12/2021 12:20,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,E,
0,1,0,1,0,2021-21820-INT,INTAKE_RECEIVED,5/13/2021 6:42,,,Other,,Email,English,Complaint,Information Provided,,,C,
0,0,0,1,0,2020-08690-INT,INTAKE_RECEIVED,9/8/2020 11:04,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,H,
1,0,1,0,1,2022-26035-INT,INTAKE_RECEIVED,1/9/2022 0:00,,,Fair Scheduling - Fast Food,Failed to provide “premium pay”,Email,English,Complaint,Assigned for Review,,,F,
0,0,0,1,0,2020-13882-INT,INTAKE_RECEIVED,11/30/2020 13:19,,,Health & Safety,,Call from Hotline,English,Information Request,Information Provided,,,G,
0,0,0,1,0,2020-05753-INT,INTAKE_RECEIVED,7/22/2020 16:15,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,L,
0,1,1,0,0,2021-23876-INT,INTAKE_RECEIVED,8/5/2021 19:26,,,Paid Safe and Sick Leave,Did not pay for use,Email,English,Complaint,,Matter Created,,Y,
0,1,1,0,1,2021-25073-INT,INTAKE_RECEIVED,12/1/2021 10:29,,,Other,,Call from 311,English,Information Request,Information Provided,Decision Made Not to Docket,,F,
0,0,0,1,0,2020-07760-INT,INTAKE_RECEIVED,8/24/2020 9:53,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,T,
0,1,0,1,0,2021-16689-INT,INTAKE_RECEIVED,1/22/2021 16:11,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,H,
0,1,1,0,0,2021-24456-INT,INTAKE_RECEIVED,10/4/2021 15:45,,,Freelance Isn't Free,,Email,English,Information Request,Information Provided,,,Q,
1,0,1,0,1,2022-26155-INT,INTAKE_RECEIVED,1/13/2022 12:35,,,Paid Safe and Sick Leave,,Email,English,Information Request,Information Provided,,,N,
0,1,0,1,0,2021-18791-INT,INTAKE_RECEIVED,3/5/2021 11:11,3/9/2021 12:53,4,Paid Safe and Sick Leave,Retaliated (incl. threats),Email,English,Retaliation w/ Termination,Assigned for Review,Matter Created,,G,2021-00801-ENF
0,0,0,1,0,2020-05296-INT,INTAKE_RECEIVED,7/17/2020 14:53,,,Health & Safety,,Call from Hotline,English,Information Request,,,,W,
0,0,0,1,0,2020-07912-INT,INTAKE_RECEIVED,8/25/2020 15:14,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,J,
